asset,time,CapMVRVCur
btc,2023-08-27T00:00:00.000000000Z,1.284719699038
btc,2023-08-28T00:00:00.000000000Z,1.285785965076
btc,2023-08-29T00:00:00.000000000Z,1.3631929159
btc,2023-08-30T00:00:00.000000000Z,1.344866297954
btc,2023-08-31T00:00:00.000000000Z,1.279294333561
btc,2023-09-01T00:00:00.000000000Z,1.272142442172
btc,2023-09-02T00:00:00.000000000Z,1.275429178013
btc,2023-09-03T00:00:00.000000000Z,1.280178738226
btc,2023-09-04T00:00:00.000000000Z,1.272295663234
btc,2023-09-05T00:00:00.000000000Z,1.271797475869
btc,2023-09-06T00:00:00.000000000Z,1.270666304167
btc,2023-09-07T00:00:00.000000000Z,1.293153415402
btc,2023-09-08T00:00:00.000000000Z,1.278230950625
btc,2023-09-09T00:00:00.000000000Z,1.277871761676
btc,2023-09-10T00:00:00.000000000Z,1.274805713565
btc,2023-09-11T00:00:00.000000000Z,1.240998802155
btc,2023-09-12T00:00:00.000000000Z,1.276849786407
btc,2023-09-13T00:00:00.000000000Z,1.294929881704
btc,2023-09-14T00:00:00.000000000Z,1.31072461763
btc,2023-09-15T00:00:00.000000000Z,1.316247721823
btc,2023-09-16T00:00:00.000000000Z,1.31045230781
btc,2023-09-17T00:00:00.000000000Z,1.30778359727
btc,2023-09-18T00:00:00.000000000Z,1.320321096515
btc,2023-09-19T00:00:00.000000000Z,1.341491282124
btc,2023-09-20T00:00:00.000000000Z,1.337531751739
btc,2023-09-21T00:00:00.000000000Z,1.310046276386
btc,2023-09-22T00:00:00.000000000Z,1.310529519075
btc,2023-09-23T00:00:00.000000000Z,1.310250960634
btc,2023-09-24T00:00:00.000000000Z,1.296058458113
btc,2023-09-25T00:00:00.000000000Z,1.296187807462
btc,2023-09-26T00:00:00.000000000Z,1.291644411828
btc,2023-09-27T00:00:00.000000000Z,1.298711354638
btc,2023-09-28T00:00:00.000000000Z,1.332826815107
btc,2023-09-29T00:00:00.000000000Z,1.326653306014
btc,2023-09-30T00:00:00.000000000Z,1.329742814001
btc,2023-10-01T00:00:00.000000000Z,1.377331393995
btc,2023-10-02T00:00:00.000000000Z,1.35843524556
btc,2023-10-03T00:00:00.000000000Z,1.351957092666
btc,2023-10-04T00:00:00.000000000Z,1.369035570095
btc,2023-10-05T00:00:00.000000000Z,1.350981968888
btc,2023-10-06T00:00:00.000000000Z,1.37581058469
btc,2023-10-07T00:00:00.000000000Z,1.376921632645
btc,2023-10-08T00:00:00.000000000Z,1.375035048808
btc,2023-10-09T00:00:00.000000000Z,1.357643501831
btc,2023-10-10T00:00:00.000000000Z,1.349224905545
btc,2023-10-11T00:00:00.000000000Z,1.320267435058
btc,2023-10-12T00:00:00.000000000Z,1.316151935393
